测试专用,#genre#
哔哩哔哩直播,https://d1--cn-gotcha209.bilivideo.com/live-bvc/881632/live_50329118_9516950_minihevc/index.m3u8?expires=1752488744&len=0&oi=1864229411&pt=html5&qn=250&trid=100761a54f4ba889f6d820c5f588ff6874cd&bmt=1&sigparams=cdn,expires,len,oi,pt,qn,trid,bmt&cdn=cn-gotcha209&sign=db2bdabe5459afe86afa053d07a75589&site=c6db8b9e975b7d9e677814cb49f67353&free_type=0&mid=0&sche=ban&bvchls=1&trace=64&isp=cm&rg=South&pv=Hainan&pp=rtmp&sl=10&hot_cdn=909701&origin_bitrate=884242&sk=9aaebaf468d4d9108ddb753709fc85e2&suffix=minihevc&score=100&hdr_type=0&flvsk=28d8e323e194d00647e84699181fb7fd&source=puv3_onetier&p2p_type=-1&deploy_env=prod&info_source=hot_cache&codec=1&vd=bc&src=puv3&order=1
央视直播,#genre#
CCTV13,http://8.138.7.223/tv/ptbtv.php?id=28
CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
CCTV风云足球,http://111.61.236.247:9081/hls/58/index.m3u8
CCTV女性时尚,http://111.61.236.247:9081/hls/59/index.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8?3.24.120:5140
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8?3.24.160:5140
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
卫视直播,#genre#
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8
云南卫视,http://59.39.89.130:60901/tsfile/live/0125_18.m3u8?key=txiptv&playlive=1&authid=0
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
农林卫视,http://124.116.183.146:9901/tsfile/live/1004_1.m3u8
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8
新疆卫视,http://222.169.85.8:9901/tsfile/live/0110_1.m3u8
地方台直播(精选),#genre#
CZ南国都市4K超高清,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
松潘,http://live.spccmc.com:90/live/spxwzh.m3u8
汶川,http://live.iwcmt.cn:90/live/zhxw.m3u8
钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
LQTV,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
SYTV,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
云,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
港澳台直播,#genre#
GOOD好消息1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
GOOD好消息2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
纬来体育,rtmp://f13h.mine.nu/sat/tv721
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
TVBS,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?$LR
TVBS,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVB Plus,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://222.128.55.152:9080/live/ts.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
中天新闻,http://222.128.55.152:9080/live/fc.m3u8
寰宇新闻,http://222.128.55.152:9080/live/hy.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://120.198.95.220:9901/tsfile/live/1004_1.m3u8?key=txiptv
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
HKC+台,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
唯心TV,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳门Macau,http://php.jdshipin.com/TVOD/iptv.php?id=as
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
ONETV,http://play2.one-tv.com/live/onetv.m3u8
PTSxs,https://livecdn9.ptsplus.tv/pts-youth-A/1.m3u8
HOY77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
中视HD,rtmp://f13h.mine.nu/sat/tv091
台视HD,rtmp://f13h.mine.nu/sat/tv071
民视HD,rtmp://f13h.mine.nu/sat/tv051
华视HD,rtmp://f13h.mine.nu/sat/tv111
MOMOTV,rtmp://f13h.mine.nu/sat/tv761
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
耀才财经台,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
国际直播,#genre#
俄罗斯Russia Today,https://rt-glb.rttv.com/live/rtnews/playlist_4500Kb.m3u8
美国BluesTV,https://2-fss-2.streamhoster.com/pl_138/205510-3094608-1/playlist.m3u8
美国Palm Beaches TV,https://live.feed.thepalmbeaches.tv/index.m3u8
美国Travelxp,https://27c980761ff9437d929e64647afe183a.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/RakutenTV-eu_TravelXP/playlist.m3u8
泰国ASTV-News,http://news1.live14.com/stream/news1_hi.m3u8
泰国PBS,http://thaipbs-live.cdn.byteark.com/live-en/playlist_720p/index.m3u8
菲律宾NDTV,https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/ndtv24x7master.m3u8
俄罗斯GITV,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
俄罗斯camapa,http://live.guberniatv.cdnvideo.ru/guberniatv/guberniatv.sdp/playlist.m3u8
韩国TBS,https://cdntv.tbs.seoul.kr/tbs/tbs_tv_web.smil/playlist.m3u8
韩国Gsmyshop,https://gstv-myshop.gsshop.com/myshop_hd/myshop_hd.stream/playlist.m3u8
Shop Channel,http://stream1.shopch.jp/HLS/out1/prog_index.m3u8
韩国NBS新闻,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
韩国CJB新闻,http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8
韩国EBS1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8
韩国EBS1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
韩国EBS1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩国EBS2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
韩国EBS2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
韩国EBS+1,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
韩国EBS+1,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/PLAYLIST.m3u8
韩国EBS+2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
韩国EBSE,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
韩国EBD-Kids,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩国BBS,http://bbstv.clouducs.com:1935/bbstv-live/livestream/playlist.m3u8
韩国NBS,https://media.joycorp.co.kr:4443/live/live_360p/playlist.m3u8
韩国KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist_w1306745753.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
伊朗新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
MBC,http://211.33.246.4:32954/cj_live/myStream.sdp/chunklist_w517347500.m3u8
Wild Earth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
美国夏威夷州,https://castus-vod-dev.s3.amazonaws.com/vod_clients/akaku/live/ch1/video.m3u8
联合国UNTV,https://cdnapi.kaltura.com/p/2503451/sp/250345100/playManifest/entryId/1_gb6tjmle/protocol/https/format/applehttp/a.m3u8
Travel Escapes TV,https://b385eb878e03425999616e7aedfe3605.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/TCLTVPlus_TravelEscapes/playlist.m3u8
OMNOM TV,https://stream.ads.ottera.tv/playlist.m3u8?network_id=34
KARTOON CHANNEL,https://amg01076-lightningintern-kartoonchannel-samsungnz-t8blu.amagi.tv/playlist/amg01076-lightningintern-kartoonchannel-samsungnz/playlist.m3u8
TG JUNIOR TV,https://stream.ads.ottera.tv/playlist.m3u8?network_id=31
TG Movies,https://stream.ads.ottera.tv/playlist.m3u8?network_id=286
Sparkle Power,https://stream.ads.ottera.tv/playlist.m3u8?network_id=35
GrossOut TV,https://stream.ads.ottera.tv/playlist.m3u8?network_id=41
Guinness Kids,https://stream.ads.ottera.tv/playlist.m3u8?network_id=567
PAC-12 TV,https://pac12-samsungus.amagi.tv/playlist.m3u8
Love the Planet,https://amg01821-lovetvchannels-lovetheplanetuksamsung-samsunguk-apopw.amagi.tv/playlist/amg01821-lovetvchannels-lovetheplanetuksamsung-samsunguk/playlist.m3u8
STADIUM,https://2d006483e2aa43fe812f7b464cb2916d.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung_Stadium/playlist.m3u8
Gusto TV,https://gusto-localnow.amagi.tv/playlist.m3u8
Inside Crime,https://amg00841-aenetworksukane-insidecrime-samsunguk-o968i.amagi.tv/playlist/amg00841-aenetworksukane-insidecrime-samsunguk/playlist.m3u8
Wicked Tuna,https://amg00353-lionsgatestudio-wickedtuna-samsunguk-ajti1.amagi.tv/playlist/amg00353-lionsgatestudio-wickedtuna-samsunguk/playlist.m3u8
WORLD FASHION,https://cdn.wfc.tv/cdn/stream-eng.m3u8
DELUXE MUSIC TV,https://sdn-global-live-streaming-packager-cache.3qsdn.com/13456/13456_264_live.m3u8
Hi-YAH!,https://linear-59.frequency.stream/dist/plex/59/hls/master/playlist.m3u8
Toon Goggles,https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=37
RT Documentary,https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8
Trace Sports,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
Agro TV,https://agrotv.streamnet.ro/mobile_tv/agrotv.m3u8
Failarmy,https://d89ea9d7a37f40408057298b5ea93acc.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung-in_FailArmy/playlist.m3u8
